fortune_ranking,company,january,february,march,april,may,june,july,august,september,october,november,december
1,Walmart,,,0.18,,0.18,,,0.18,,,,0.18
2,Amazon,,,,,,,,,,,,
3,Apple,,0.77,,,0.82,,,0.82,,,0.21,
4,CVS Health,,0.50,,,0.50,,,0.50,,,0.50,
5,UnitedHealth Group,,,1.08,,,1.25,,,1.25,,,1.25
6,ExxonMobil,,0.87,,,0.87,,,0.87,,,0.87,
7,Berkshire Hathaway,,,,,,,,,,,,
8,McKesson Corporation,,,,0.41,,,0.42,,,0.42,,
9,Alphabet (Class A),,,,,,,,,,,,
10,AmerisourceBergen,,,0.42,,,0.42,,,0.42,,0.44,
11,Costco,,0.65,,,0.70,,,0.70,,,0.70,10.00
12,Cigna,,,,0.04,,,,,,,,
13,AT&T,,0.52,,,0.52,,,0.52,,,0.52,
14,Microsoft,,,0.51,,,0.51,,,0.51,,,0.56
15,Cardinal Health,0.48,,,0.48,,,0.48,,,0.49,,
16,Chevron Corporation,,,1.29,,,1.29,,,1.29,,,1.29
17,Home Depot,,,1.50,,,1.50,,,1.50,,,1.50
18,Walgreens Boots Alliance,,,0.46,,,0.46,,,0.47,,,0.47
19,Marathon Petroleum,,,0.58,,,0.58,,,0.58,,,0.58
20,Anthem,,,0.95,,,0.95,,,0.95,,,0.95
21,Kroger,,,0.16,,,0.16,,,0.18,,,0.18
22,Ford,,,0.15,,,,,,,,,
23,Verizon Communications,,0.62,,,0.62,,,0.62,,,0.63,
24,JPMorgan Chase,0.90,,,0.90,,,0.90,,,0.90,,
25,General Motors,,,0.38,,,,,,,,,
26,Centene Corporation,,,,,,,,,,,,
27,Metaplatforms,,,,,,,,,,,,
28,Comcast,0.21,,,0.23,,,0.23,,,0.23,,
29,Phillips 66,,,0.90,,,0.90,,,0.90,,,0.90
30,Valero Energy,,,0.98,,,0.98,,,0.98,,,0.98
31,Dell Technologies,,,,,,,,,,,,
32,Target Corporation,,,0.66,,,0.66,,,0.68,,,0.68
33,United Parcel Service,,,1.01,,,1.01,,,1.01,,,1.01
34,Lowe's,,0.55,,,0.55,,,0.60,,,0.60,
35,Bank of America,,,0.18,,,0.18,,,0.18,,,0.18
36,Johnson & Johnson,,,0.95,,,1.01,,,1.01,,,1.01
37,ADM,,,0.36,,,0.36,,,0.36,,,0.36
38,FedEx,0.65,,,0.65,,,0.65,,,0.65,,0.65
39,Humana,0.55,,,0.63,,,0.63,,,0.63,,
40,Wells Fargo,,,0.51,,,0.51,,,0.10,,,0.10
41,Pfizer,,,0.38,,,0.38,,,0.38,,,0.38
42,Citigroup,,0.51,,,0.51,,,0.51,,,0.51,
43,PepsiCo,0.96,,0.96,,,1.02,,,1.02,,,
44,Intel,,,0.33,,,0.33,,,0.33,,,0.33
45,Procter & Gamble,,0.75,,,0.79,,,0.79,,,0.79,
46,General Electric,0.01,,,0.01,,,0.01,,,0.01,,
47,IBM,,,1.62,,,1.63,,,1.63,,,1.63
48,Albertsons,,,,,,,,,,,0.10,
49,MetLife,,,0.44,,,0.46,,,0.46,,,0.46
50,Prudential Financial,,,1.10,,,1.10,,,1.10,,,1.10
51,Walt Disney,0.88,,,,,,,,,,,
52,Lockheed Martin,,,2.40,,,2.40,,,2.40,,,2.60
53,Goldman Sachs,,,1.25,,,1.25,,,1.25,,,1.25
54,Raytheon Technologies,,,0.74,,,0.48,,,0.48,,,0.48
55,HP,0.18,,,0.18,,,0.18,,,0.18,,
56,Boeing,,,2.06,,,,,,,,,
57,Morgan Stanley,,0.35,,,0.35,,,0.35,,,0.35,
58,HCA Healthcare,,,0.43,,,,,,,,,
59,AbbVie,,1.18,,,1.18,,,1.18,,,1.18,
60,Dow,,,0.70,,,0.70,,,0.70,,,0.70
61,Tesla,,,,,,,,,,,,
62,Allstate Corp,0.50,,,0.54,,,0.54,,,0.54,,
63,American International Group,,,0.32,,,0.32,,,0.32,,,0.32
64,Best Buy,0.50,,,0.55,,,0.55,,,0.55,,
65,Charter Communications,,,,,,,,,,,,
66,Sysco,0.45,,,0.45,,,0.45,,,0.45,,
67,Merck & Co.,0.61,,,0.61,,,0.61,,,0.61,,
68,Caterpillar,,1.03,,,1.03,,,1.03,,,1.03,
69,Cisco Systems,0.35,,,0.36,,,0.36,,,0.36,,
70,TJX Companies,,,0.23,,,,,,,,,
71,ConocoPhillips,,,0.42,,,0.42,,,0.42,,,0.43
72,Progressive Corporation,2.35,,,0.10,,,0.10,,,0.10,,
73,Tyson Foods,,,0.42,,,0.42,,,0.42,,,0.45
74,Bristol Myers Squibb,,0.45,,,0.45,,,0.45,,,0.45,
75,Nike,0.25,,,0.25,,,0.25,,,0.25,,0.28
76,Deere & Co.,,0.76,,,0.76,,,0.76,,,0.76,
77,American Express,,0.43,,,0.43,,,0.43,,,0.43,
78,Abbott Laboratories,,0.36,,,0.36,,,0.36,,,0.36,
79,Stonex Group,,,,,,,,,,,,
80,Oracle,0.24,,,0.24,,,0.24,,,0.24,,
81,Thermo Fisher Scientific,0.19,,,0.22,,,0.22,,,0.22,,
82,Coca-Cola Company,,,,0.41,,,0.41,,,0.41,,0.41
83,General Dynamics,,1.02,,,1.10,,,1.10,,,1.10,
84,Northwestern Mutual,,,,,,,,,,,,
85,Nucor,,0.40,,,0.40,,,0.40,,,0.40,
86,Exelon,,,0.38,,,0.38,,,0.38,,,0.38
87,Northrop Grumman,,,1.32,,,1.45,,,1.45,,,1.45
88,3M,,,1.47,,,1.47,,,1.47,,,1.47
89,Travelers,,,0.82,,,0.85,,,0.85,,,0.85
90,Arrow Electronics,,,,,,,,,,,,
91,Dollar General,0.32,,,0.36,,,0.36,,,0.36,,
92,Qualcomm,,,0.62,,,0.65,,,0.65,,,0.65
93,CarMax,,,,,,,,,,,,
94,Capital One Finance,,0.40,,,0.40,,,0.10,,,0.10,
95,TD SYNNEX Corp,0.40,,,,,,,,,,,
96,Philip Morris,1.17,,,1.17,,,1.17,,,1.20,,
97,World Fuel Services,0.10,,,0.10,,,0.10,,,0.10,,
98,Performance Food Group,,,,,,,,,,,,
99,Delta Airlines,,,0.40,,,,,,,,,
100,American Airlines,,0.10,,,,,,,,,,
